"","sex","tissue","comparison","direction","gene","lfc","padj","logpadj"
"1","female","gonad","eggs vs. chicks","chicks","OVALX",6.17292190934136,0.00705135047744658,2.15172769879079
"2","female","gonad","eggs vs. chicks","chicks","LOC101749216",5.19375383835196,2.44977689434551e-06,5.61087346582593
"3","female","gonad","eggs vs. chicks","chicks","BPIFB2",4.94711507795932,0.00522506068542057,2.28190866116136
"4","female","gonad","eggs vs. chicks","chicks","OvoDA1",4.89819903331522,0.000268984344850601,3.57027299562155
"5","female","gonad","eggs vs. chicks","chicks","CDC20B",4.07239625182937,2.9873907127164e-10,9.5247079734856
"6","female","gonad","eggs vs. chicks","chicks","WFIKKN2",4.00714909639099,0.019018440393535,1.72082510024051
"7","female","gonad","eggs vs. chicks","chicks","OVALY",3.94746060580691,0.0322773236833845,1.49110248255355
"8","female","gonad","eggs vs. chicks","chicks","OCX36",3.63763733232302,0.0168344774268733,1.77380036036575
"9","female","gonad","eggs vs. chicks","chicks","AGRP",3.48828290497474,0.00292235277856092,2.53426735837625
"10","female","gonad","eggs vs. chicks","chicks","GCM1",2.8397354752929,0.00871898704057029,2.05953396784777
"11","female","gonad","eggs vs. chicks","chicks","LOC101750121",2.80327031368763,0.000807048512149142,3.09310035880278
"12","female","gonad","eggs vs. chicks","chicks","AvBD11",2.772279647959,0.0128288120383273,1.89181355789522
"13","female","gonad","eggs vs. chicks","chicks","ZP1",2.72620327354601,0.00124530013091959,2.90472596624402
"14","female","gonad","eggs vs. chicks","chicks","SULT1C3",2.69688899162235,0.019731716826459,1.70483512580612
"15","female","gonad","eggs vs. chicks","chicks","CA8",2.6716307089236,0.000147977819994858,3.82980337498148
"16","female","gonad","eggs vs. chicks","chicks","SPINK7",2.6459884140884,0.078114019472168,1.10727101435578
"17","female","gonad","eggs vs. chicks","chicks","LOC107053409",2.62858318135548,0.0277479481318521,1.55676912598134
"18","female","gonad","eggs vs. chicks","chicks","COL10A1",2.60056260502026,0.0166363080891167,1.77894304549848
"19","female","gonad","eggs vs. chicks","chicks","SPINK5",2.59700061785755,0.013279324646209,1.87682401155557
"20","female","gonad","eggs vs. chicks","chicks","IL20RB",2.51945821007926,0.0143286773841079,1.84379389552681
"21","female","gonad","eggs vs. chicks","chicks","RBP",2.44307942524096,0.00755517016168299,2.12175574979647
"22","female","gonad","eggs vs. chicks","chicks","FOXN4",2.42085693605333,1.8335951888923e-06,5.73669653924165
"23","female","gonad","eggs vs. chicks","chicks","WFDC2",2.39348258232389,0.049720680440169,1.30346293655918
"24","female","gonad","eggs vs. chicks","chicks","REG4",2.02448839838648,0.0965632283761709,1.01518822300061
"25","female","gonad","eggs vs. chicks","chicks","LOC428250",2.01125453521316,0.0357837831319594,1.44631374687426
"26","female","gonad","eggs vs. chicks","chicks","PI15",1.91780948446954,0.0197523838824106,1.70438048259452
"27","female","gonad","eggs vs. chicks","chicks","SLC26A7",1.88958696373039,0.0421347189361802,1.37535989873747
"28","female","gonad","eggs vs. chicks","chicks","GHRH-LR",1.88161544240988,0.00435927045518017,2.36058618591494
"29","female","gonad","eggs vs. chicks","chicks","TEKT5",1.83424675842555,0.00681103687564265,2.16678676839677
"30","female","gonad","eggs vs. chicks","chicks","LOC101749727",1.77154874244841,0.00317945313740752,2.49764757178598
"31","female","gonad","eggs vs. chicks","chicks","CCDC67",1.71134686067854,0.0309360748520139,1.50953479012761
"32","female","gonad","eggs vs. chicks","chicks","LOC107050569",1.70449526252075,0.0935034436311361,1.02917239423486
