"","sex","tissue","treatment","gene","samples","counts"
"1","female","gonad","control","ARHGAP32","L.G118_female_gonad_control",8.02606409122921
"2","female","gonad","control","ARHGAP32","R.G106_female_gonad_control",8.35768958459941
"3","female","gonad","control","ARHGAP32","R.R20_female_gonad_control",8.21011424585067
"4","female","gonad","control","ARHGAP32","R.R9_female_gonad_control",7.74104093503565
"5","female","gonad","control","ARHGAP32","R.W44_female_gonad_control",8.67833020419836
"6","female","gonad","inc.d9","ARHGAP32","blk.s061.pu.y_female_gonad_inc.d9",8.81499545084614
"7","female","gonad","bldg","ARHGAP32","blk11.x_female_gonad_bldg",8.4028597091008
"8","female","gonad","hatch","ARHGAP32","blk21.x_female_gonad_hatch",9.31612611546298
"9","female","gonad","n9","ARHGAP32","blk4.x_female_gonad_n9",8.70042401354451
"10","female","gonad","control","ARHGAP32","blu.o.x.ATLAS_female_gonad_control",8.45775160603457
"11","female","gonad","hatch","ARHGAP32","blu103.x_female_gonad_hatch.NYNO",7.98013341551395
"12","female","gonad","hatch","ARHGAP32","blu124.w180.x_female_gonad_hatch",9.53155215009525
"13","female","gonad","n9","ARHGAP32","blu36.w16_female_gonad_n9",9.0139378665039
"14","female","gonad","bldg","ARHGAP32","blu38.g135.x_female_gonad_bldg",8.12254135427826
"15","female","gonad","inc.d3","ARHGAP32","blu39.o26.x_female_gonad_inc.d3",7.88714901408073
"16","female","gonad","inc.d9","ARHGAP32","blu47.y96.x_female_gonad_inc.d9",9.04403745358769
"17","female","gonad","n5","ARHGAP32","blu55.g51_female_gonad_n5",8.41740427369365
"18","female","gonad","lay","ARHGAP32","g.blk.s004.pk_female_gonad_lay",8.79040542122076
"19","female","gonad","lay","ARHGAP32","g.s078.blk.o_female_gonad_lay",8.81000411931283
"20","female","gonad","control","ARHGAP32","g.x.ATLAS_female_gonad_control",8.33724788134999
"21","female","gonad","bldg","ARHGAP32","g141.blu27.x_female_gonad_bldg",8.9574892950961
"22","female","gonad","inc.d17","ARHGAP32","g142.r40.x_female_gonad_inc.d17",8.84172294050345
"23","female","gonad","inc.d3","ARHGAP32","g6.w197.x_female_gonad_inc.d3",8.86486447676108
"24","female","gonad","inc.d9","ARHGAP32","g75.x_female_gonad_inc.d9",8.77163851389033
"25","female","gonad","bldg","ARHGAP32","l.s120.y.blk_female_gonad_bldg",9.54394365719371
"26","female","gonad","inc.d3","ARHGAP32","o156.w80.x_female_gonad_inc.d3",8.74117107603702
"27","female","gonad","inc.d3","ARHGAP32","o165.w122.x_female_gonad_inc.d3.NYNO",8.12979696371843
"28","female","gonad","hatch","ARHGAP32","o172.w115.x_female_gonad_hatch",8.06757984261962
"29","female","gonad","inc.d3","ARHGAP32","o173.w179.x_female_gonad_inc.d3",8.84855441869455
"30","female","gonad","inc.d17","ARHGAP32","o35.r51.x_female_gonad_inc.d17",8.98017193847252
"31","female","gonad","bldg","ARHGAP32","o38.blu29.x_female_gonad_bldg",8.90508144880956
"32","female","gonad","inc.d17","ARHGAP32","o52.blu53_female_gonad_inc.d17",8.42007952682677
"33","female","gonad","inc.d9","ARHGAP32","o73.x_female_gonad_inc.d9",8.55071972224086
"34","female","gonad","control","ARHGAP32","r.r.x.ATLAS.R2XR_female_gonad_control",10.2227929207293
"35","female","gonad","control","ARHGAP32","r.r.x.ATLAS_female_gonad_control",8.63250867745256
"36","female","gonad","bldg","ARHGAP32","r.s056.g.o_female_gonad_bldg",8.85332215511339
"37","female","gonad","n9","ARHGAP32","r.s171.l.w_female_gonad_n9",9.31554425769125
"38","female","gonad","hatch","ARHGAP32","r183.o22_female_gonad_hatch",8.67438627631184
"39","female","gonad","inc.d3","ARHGAP32","r27.w111.blu125_female_gonad_inc.d3",9.153413881507
"40","female","gonad","inc.d9","ARHGAP32","r30.w112.r46_female_gonad_inc.d9",8.84915264668965
"41","female","gonad","inc.d9","ARHGAP32","r36.w184.x_female_gonad_inc.d9",8.51525373749284
"42","female","gonad","inc.d17","ARHGAP32","r49.w189.x_female_gonad_inc.d17",9.08982345373111
"43","female","gonad","control","ARHGAP32","r6.x_female_gonad_control.NYNO",8.69460958377237
"44","female","gonad","inc.d3","ARHGAP32","r73.g127.x_female_gonad_inc.d3",7.64158420798815
"45","female","gonad","bldg","ARHGAP32","r83.g45_female_gonad_bldg",8.90442189058314
"46","female","gonad","n9","ARHGAP32","r95.blu99_female_gonad_n9",9.17848020308443
"47","female","gonad","lay","ARHGAP32","s.o.pk_female_gonad_lay",8.68801820421014
