id,treatment,sex,prl,cort,p4,e2t
blk.y.l.s109,early,female,8,1.711482279,0.262415793,0.038245464
blu80.r97,early,female,20.54,1.729950962,1.302655359,0.05176619
pk.s055.d.l,early,female,14.67,1.329165484,0.328067229,0.036214928
s002.x,early,female,39.3,1.387526072,0.299622754,0.041423166
s091.blk.r.g,early,female,16.68,2.962079947,0.766231554,0.079887687
x.g26,early,female,27.47,1.805107661,1.705127619,0.096559321
x.s188,early,female,11.67,2.391392662,0.382304335,0.03659381
x.y5,early,female,35.96,1.21639156,0.397641191,0.054384367
g.s111.r.blk,early,male,25.95,3.261388706,0.172852754,0.10840598
g.s179.o.pk,early,male,15.86,3.283365162,0.761642918,0.527040304
g137.r24.w5,early,male,8.01,1.108729921,0.273127988,0.660662305
pu.blk.s102.y,early,male,14.7,4.287877265,1.204595565,0.89275421
r.s058.d.l,early,male,6.76,1.631212924,0.761642918,0.441326622
r4.x,early,male,19.8,2.244749633,0.761642918,0.693780055
s044.blk.d.r,early,male,18.43,4.489466138,0.761642918,1.034345625
s067.o.l.y,early,male,13.28,2.02953278,0.351823857,1.405108562
x.y51,early,male,8.11,1.087819794,0.432961071,2.105957506
y55.x,early,male,6.33,2.58008247,1.334580828,0.704979918
blk19.x,extend,female,100.68,2.539481279,0.271742636,0.053640984
blu44.y102,extend,female,152.37,9.69129464,0.170609784,0.037867647
g17.w108.x,extend,female,120.35,4.166797116,0.504051529,0.037505461
g22.blu118,extend,female,82.03,3.794711285,0.122543835,0.060455681
r.s131.o.d,extend,female,46.98,2.194346135,1.376601308,0.069647402
s089.blk.pk.pu,extend,female,59.99,3.211362155,0.425119496,0.044176314
s137.g.blk.y,extend,female,48.44,2.329129739,0.137518889,0.134394921
s186.l.o.pk,extend,female,65.04,4.929286804,0.213680871,0.041911782
x.o61,extend,female,80.96,2.163011212,0.165297232,0.126688582
x.y64,extend,female,72.76,1.556400688,0.181428234,0.042635065
g.s351.pk.w,extend,male,64.99,1.548633271,0.122913252,0.941115099
g3.g119.w20,extend,male,59.7,2.439766135,1.38859117,0.699580576
g8.y197,extend,male,38.17,1.382792904,1.015730925,0.469064212
l.s.o.blk,extend,male,45.07,2.599454094,0.254247897,0.555197083
r.s086.l.blk,extend,male,60.72,2.741491116,0.771082137,1.914868809
r.s172.l.y,extend,male,74.04,4.217974044,0.103143545,0.910630449
x.blu69,extend,male,35.15,1.947901571,1.502932703,0.955953598
x.blu73,extend,male,66.9,0.713103397,1.01001547,0.256819413
y128.g23.x,m.inc.d9,female,29.57,0.874945502,0.111240772,0.037849647
blu108.w40.o158,m.inc.d9,male,11.61,0.946402888,0.365570968,3.670106092
d.s112.blk.w,m.inc.d17,female,49.71,0.936114279,0.694859049,0.140564277
g.y.blk.s006,m.inc.d17,female,31.84,0.973618573,0.101515804,0.17319057
g63.blu65,m.inc.d17,female,12.88,0.851948628,0.262456773,0.135856306
o.s084.w.blk,m.inc.d17,female,29.66,3.339150625,0.502911756,0.141362569
o169.r28.x,m.inc.d17,female,58.22,1.699167786,0.295604684,0.18180929
pk.s011.o.y,m.inc.d17,female,21.17,1.198657357,1.068885286,0.103882211
s038.g.d.blk,m.inc.d17,female,10.54,0.928709532,1.948155986,0.110045873
s100.l.pk.blk,m.inc.d17,female,13.28,2.173143659,1.294007003,0.123104774
